"income","current.single","trump.single","current.married","trump.married","diff.single","diff.married","pctincome.single","pctincome.married"
7830000,3052398.064,2565864.81,3037711.414,2546247.81,-486533.254,-491463.604,0.101836289527157,0.10255300681093
7840000,3056358.064,2569164.81,3041671.414,2549547.81,-487193.254,-492123.604,0.101845677523135,0.102561463888876
7850000,3060318.064,2572464.81,3045631.414,2552847.81,-487853.254,-492783.604,0.10185504184176,0.102569899702529
7860000,3064278.064,2575764.81,3049591.414,2556147.81,-488513.254,-493443.604,0.101864382572493,0.102578314331988
7870000,3068238.064,2579064.81,3053551.414,2559447.81,-489173.254,-494103.604,0.101873699804346,0.10258670785695
7880000,3072198.064,2582364.81,3057511.414,2562747.81,-489833.254,-494763.604,0.101882993625884,0.102595080356713
7890000,3076158.064,2585664.81,3061471.414,2566047.81,-490493.254,-495423.604,0.101892264125226,0.102603431910178
7900000,3080118.064,2588964.81,3065431.414,2569347.81,-491153.254,-496083.604,0.10190151139005,0.102611762595853
7910000,3084078.064,2592264.81,3069391.414,2572647.81,-491813.254,-496743.604,0.101910735507596,0.102620072491852
7920000,3088038.064,2595564.81,3073351.414,2575947.81,-492473.254,-497403.604,0.101919936564666,0.102628361675901
7930000,3091998.064,2598864.81,3077311.414,2579247.81,-493133.254,-498063.604,0.10192911464763,0.102636630225338
7940000,3095958.064,2602164.81,3081271.414,2582547.81,-493793.254,-498723.604,0.101938269842427,0.102644878217118
7950000,3099918.064,2605464.81,3085231.414,2585847.81,-494453.254,-499383.604,0.101947402234567,0.102653105727813
7960000,3103878.064,2608764.81,3089191.414,2589147.81,-495113.254,-500043.604,0.101956511909136,0.102661312833614
7970000,3107838.064,2612064.81,3093151.414,2592447.81,-495773.254,-500703.604,0.101965598950796,0.102669499610337
7980000,3111798.064,2615364.81,3097111.414,2595747.81,-496433.254,-501363.604,0.101974663443789,0.102677666133421
7990000,3115758.064,2618664.81,3101071.414,2599047.81,-497093.254,-502023.604,0.10198370547194,0.102685812477933
8000000,3119718.064,2621964.81,3105031.414,2602347.81,-497753.254,-502683.604,0.101992725118658,0.102693938718568
8010000,3123678.064,2625264.81,3108991.414,2605647.81,-498413.254,-503343.604,0.102001722466941,0.102702044929656
8020000,3127638.064,2628564.81,3112951.414,2608947.81,-499073.254,-504003.604,0.102010697599377,0.102710131185157
8030000,3131598.064,2631864.81,3116911.414,2612247.81,-499733.254,-504663.604,0.102019650598146,0.102718197558671
8040000,3135558.064,2635164.81,3120871.414,2615547.81,-500393.254,-505323.604,0.102028581545022,0.102726244123434
8050000,3139518.064,2638464.81,3124831.414,2618847.81,-501053.254,-505983.604,0.102037490521378,0.102734270952324
8060000,3143478.064,2641764.81,3128791.414,2622147.81,-501713.254,-506643.604,0.102046377608189,0.102742278117862
